feature,importance,absolute_value
cat__model_f-350,3.505533258858705e-05,3.505533258858705e-05
cat__model_impreza,3.199599917185844e-05,3.199599917185844e-05
cat__model_3500,3.1880030406304996e-05,3.1880030406304996e-05
cat__title_status_lien,3.137504458989977e-05,3.137504458989977e-05
cat__region_hawaii,3.0823766050814186e-05,3.0823766050814186e-05
cat__model_sienna,2.7654836123298066e-05,2.7654836123298066e-05
cat__model_fusion,2.6705337357330286e-05,2.6705337357330286e-05
cat__model_2500,2.6055626416728334e-05,2.6055626416728334e-05
cat__model_focus,2.5641044121836942e-05,2.5641044121836942e-05
cat__manufacturer_mazda,2.4655496327655506e-05,2.4655496327655506e-05
cat__state_al,2.348108733394861e-05,2.348108733394861e-05
cat__fuel_Unknown,2.0931014369768813e-05,2.0931014369768813e-05
cat__state_hi,2.090839098476607e-05,2.090839098476607e-05
cat__model_f-250,2.016682251234832e-05,2.016682251234832e-05
cat__model_4runner,1.98035174819109e-05,1.98035174819109e-05
cat__paint_color_yellow,1.8237403804703354e-05,1.8237403804703354e-05
cat__model_camry,1.7887136683802236e-05,1.7887136683802236e-05
cat__region_fayetteville,1.666163360958165e-05,1.666163360958165e-05
cat__model_accord,1.5309063135074055e-05,1.5309063135074055e-05
cat__manufacturer_mini,1.5166994838079918e-05,1.5166994838079918e-05
cat__model_corolla,1.5106241403948498e-05,1.5106241403948498e-05
cat__model_grand cherokee,1.492042094425868e-05,1.492042094425868e-05
cat__model_sentra,1.2705114836693561e-05,1.2705114836693561e-05
cat__model_c-class,1.2642832128287566e-05,1.2642832128287566e-05
cat__region_santa barbara,1.2566563598438184e-05,1.2566563598438184e-05
cat__model_elantra,1.1895020135053449e-05,1.1895020135053449e-05
cat__model_charger,1.1718354167183228e-05,1.1718354167183228e-05
cat__model_sierra 1500,1.165523735554773e-05,1.165523735554773e-05
cat__model_explorer,1.1404528452177831e-05,1.1404528452177831e-05
cat__condition_new,1.0908420658890155e-05,1.0908420658890155e-05
cat__region_hartford,1.072966798844214e-05,1.072966798844214e-05
cat__region_yuba-sutter,9.943946488547785e-06,9.943946488547785e-06
cat__model_cr-v,8.656564449434302e-06,8.656564449434302e-06
cat__model_e-class,8.51151251351478e-06,8.51151251351478e-06
cat__region_visalia-tulare,8.465310116993259e-06,8.465310116993259e-06
cat__region_tallahassee,8.079537356894223e-06,8.079537356894223e-06
cat__model_tahoe,7.648680121898511e-06,7.648680121898511e-06
cat__manufacturer_alfa-romeo,7.334688762184656e-06,7.334688762184656e-06
cat__region_daytona beach,7.1399692488530076e-06,7.1399692488530076e-06
cat__manufacturer_pontiac,7.028096946045632e-06,7.028096946045632e-06
cat__cylinders_5 cylinders,7.0213349935444256e-06,7.0213349935444256e-06
cat__paint_color_orange,7.011830673405385e-06,7.011830673405385e-06
cat__model_rav4,6.7610198360514205e-06,6.7610198360514205e-06
cat__type_offroad,6.56930486000623e-06,6.56930486000623e-06
cat__model_escape,6.086704440908566e-06,6.086704440908566e-06
cat__cylinders_Other,6.079540491290051e-06,6.079540491290051e-06
cat__model_silverado 2500hd,5.677147960980215e-06,5.677147960980215e-06
cat__region_treasure coast,5.4486842811069465e-06,5.4486842811069465e-06
cat__model_altima,4.639048752385742e-06,4.639048752385742e-06
