region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long,description_length,posting_year,posting_month,car_age,odometer_per_year,is_high_mileage,manufacturer_frequency
space coast,2200,2003.0,gmc,Unknown,Unknown,Unknown,gas,150000.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,fl,28.0691,-80.62,111,2021.0,4.0,18.0,8333.333333333334,0,0.0319
tampa bay area,28995,2012.0,porsche,Other,Unknown,Unknown,gas,69081.0,clean,automatic,Unknown,full-size,sedan,Unknown,fl,28.050634,-82.460167,3189,2021.0,4.0,9.0,7675.666666666667,0,0.00405
SF bay area,42000,2006.0,ram,2500,good,6 cylinders,diesel,128894.0,clean,automatic,4wd,full-size,truck,black,ca,37.3483,-121.9844,725,2021.0,5.0,15.0,8592.933333333332,0,0.0382
chico,8995,2014.0,ford,Other,excellent,4 cylinders,hybrid,102910.0,clean,automatic,Unknown,Unknown,other,Unknown,ca,38.611373,-121.430328,6561,2021.0,4.0,7.0,14701.42857142857,0,0.1533
yuba-sutter,5988,2012.0,ford,Other,excellent,4 cylinders,gas,,clean,automatic,fwd,Unknown,SUV,black,ca,38.5892,-121.4057,4220,2021.0,4.0,9.0,,0,0.1533
stockton,8999,2011.0,subaru,outback,excellent,6 cylinders,gas,169634.0,clean,automatic,4wd,mid-size,wagon,black,ca,38.608933,-121.430188,16861,2021.0,5.0,10.0,16963.4,1,0.0224
orange county,33590,2015.0,audi,Other,good,8 cylinders,gas,41662.0,clean,automatic,Unknown,Unknown,sedan,black,ca,33.74,-117.82,4337,2021.0,4.0,6.0,6943.666666666667,0,0.01865
redding,42995,2019.0,ram,1500,Unknown,Unknown,gas,62296.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,ca,40.575778,-122.353107,650,2021.0,4.0,2.0,31148.0,0,0.0382
Other,24990,2013.0,bmw,Other,good,Unknown,gas,27287.0,clean,other,rwd,Unknown,other,black,ct,41.81,-72.9,4967,2021.0,5.0,8.0,3410.875,0,0.0387
reno / tahoe,18999,2013.0,ford,expedition,excellent,8 cylinders,gas,94270.0,clean,automatic,4wd,full-size,SUV,black,ca,38.608933,-121.430188,17334,2021.0,5.0,8.0,11783.75,0,0.1533
modesto,6999,2006.0,nissan,Other,Unknown,Unknown,gas,266030.0,clean,manual,Unknown,Unknown,Unknown,Unknown,ca,37.600004,-120.938713,394,2021.0,4.0,15.0,17735.333333333332,1,0.04915
"washington, DC",21429,2017.0,honda,cr-v,Unknown,4 cylinders,gas,23280.0,clean,automatic,fwd,mid-size,SUV,grey,dc,39.051995,-77.121926,322,2021.0,4.0,4.0,5820.0,0,0.0545
jacksonville,14999,2015.0,honda,Other,excellent,6 cylinders,gas,139889.0,clean,automatic,Unknown,Unknown,sedan,white,fl,30.289976,-81.635535,411,2021.0,4.0,6.0,23314.833333333332,0,0.0545
ventura county,3500,2011.0,ford,Other,excellent,Unknown,gas,110000.0,clean,automatic,Unknown,Unknown,Unknown,Unknown,ca,34.2771,-118.4992,176,2021.0,4.0,10.0,11000.0,0,0.1533
ocala,15950,2017.0,toyota,rav4,Unknown,Unknown,gas,58185.0,clean,automatic,fwd,Unknown,wagon,Unknown,fl,28.567037,-81.291542,4037,2021.0,4.0,4.0,14546.25,0,0.09435
